localisation\russian\KR_country_specific\AFG - Afghanistan l_russian.yml

l_russian:

### World Tension ###
 AFG_anglo_afghan_war_threat: "Fifth Anglo-Afghan War"

### Events ###
 afghanistan_events.0.t: "The 5th Anglo-Afghan War?"
 afghanistan_events.0.d: "In the remnants of the Raj to our east, dissent has sprung up like wildflowers in the wake of [CAN_king_full_name]'s succession. In Kabul, we have our own troubles keeping the latent discontent of reform down. A repeat of the victorious Fourth Anglo-Afghan War might cement our own position whilst winning new lands and subjects for the crown!"
 afghanistan_events.0.a: "The time is ripe! Let us repeat our victories!"
 afghanistan_events.0.b: "What does India have but cows?"

 afghanistan_events.1.t: "Afghanistan Invades!"
 afghanistan_events.1.d: "Sensing a moment of weakness following the death of George V, Afghanistan has invaded! This is not the first time they have done this, as following the Weltkrieg, they attacked and occupied the North-West Frontier Province. We must protect the Dominion! Jai Hind!"
 afghanistan_events.1.a: "We will drive back these dogs and reclaim our lands!"

 afghanistan_events.2.t: "The Third Treaty of Rawalpindi"
 afghanistan_events.2.d: "Victory is ours! We have utterly routed the decadent British lapdogs and our forces are entrenched in the smouldering remains of their capital. Now might be the best time to demand concessions, whilst we still carry the lead."
 afghanistan_events.2.a: "We shall demand the liberation of Quetta"
 afghanistan_events.2.b: "Demand both Quetta and Baluchistan"
 afghanistan_events.2.c: "Demand them both, and lay claim to even more!"

 afghanistan_events.3.t: "Demands of the Afghans"
 afghanistan_events.3.d: "Curses! The Afghan dogs have completely overpowered us and have reduced our proud nation to humiliation. Now the Afghan King demands our surrender of the princely state of Kashmir and access to the Mouth of the Indus. Although these are harsh terms, it might be wise to comply lest our rivals on the continent act on our exposed situation."
 afghanistan_events.3.a: "We yield because we have no other choice..."
 afghanistan_events.3.b: "They must be joking! Hindustan Zindabad!"

 afghanistan_events.4.t: "[RAJ.GetNameDefCap] Refuses!"
 afghanistan_events.4.d: "Foolishly, the British lapdogs have refused our rightful claims."
 afghanistan_events.4.a: "The war continues!"

 afghanistan_events.5.t: "[RAJ.GetNameDefCap] Surrenders!"
 afghanistan_events.5.d: "A great victory has been won today, the forces of [RAJ.GetNameDef] have been completely routed and their leadership has agreed to surrender to our demands. The nation has at last avenged all those who were felled by the British dogs, and ensured that it shall never again be subjugated by them."
 afghanistan_events.5.a: "None shall ever again doubt our might!"

 afghanistan_events.6.t: "The 5th Anglo-Afghan War: Victory!"
 afghanistan_events.6.d: "Amanullah Khan's ambition of furthering Afghan influence in India has been crushed. The troops of the Dominion have crossed the Durand Line, and have retaken the lost North-West Frontier Province, whilst threatening Kabul itself. The Afghan state is in complete disarray and her populace is begging for peace. We have little reason to push for the return of the occupied land, and should most likely accept their surrender, but there are always those who believe we should keep fighting for even more..."
 afghanistan_events.6.a: "Expel the Afghans from the occupied lands, nothing more."
 afghanistan_events.6.b: "The war will not end until the snake Amanullah is forced from Kabul!"

 afghanistan_events.7.t: "The Afghan Surrender"
 afghanistan_events.7.d: "With Kabul and the frontier both firmly under our control, the Afghans have been completely shattered. The warmonger Amanullah is now little more than our prisoner, and the Afghans have no choice but to accept their renewed subjugation."
 afghanistan_events.7.a: "Their overconfidence has left them in ruins."

 afghanistan_events.8.t: "Who shall rule Afghanistan?"
 afghanistan_events.8.d: "Now that Afghanistan is firmly within our sphere of influence, we must decide who its ruler will be."
 afghanistan_events.8.a: "Let Amanullah Khan keep the throne, the people like him."
 afghanistan_events.8.b: "Install Mohammad Nadir Khan, he will be loyal to us."

 afghanistan_events.9.t: "The Third Treaty of Rawalpindi"
 afghanistan_events.9.d: "Catastrophe! Our campaign against [RAJ.GetNameDef] has been crowned with spectacular failure and our armies are fleeing in panic through the Pass of Khyber. Their leader, [RAJ.GetLeader], has offered peace, demanding a restoration of pre-1925 borders. Unfortunately, we are unable to decline lest our very nation be destroyed..."
